conversation_id,gemini_rouge1_f1,tfidf_rouge1_f1,ollama_rouge1_f1,gpt_rouge1_f1,gemini_rouge1_precision,tfidf_rouge1_precision,ollama_rouge1_precision,gpt_rouge1_precision,gemini_rouge1_recall,tfidf_rouge1_recall,ollama_rouge1_recall,gpt_rouge1_recall,gemini_rouge2_f1,tfidf_rouge2_f1,ollama_rouge2_f1,gpt_rouge2_f1,gemini_rouge2_precision,tfidf_rouge2_precision,ollama_rouge2_precision,gpt_rouge2_precision,gemini_rouge2_recall,tfidf_rouge2_recall,ollama_rouge2_recall,gpt_rouge2_recall,gemini_rougeL_f1,tfidf_rougeL_f1,ollama_rougeL_f1,gpt_rougeL_f1,gemini_rougeL_precision,tfidf_rougeL_precision,ollama_rougeL_precision,gpt_rougeL_precision,gemini_rougeL_recall,tfidf_rougeL_recall,ollama_rougeL_recall,gpt_rougeL_recall,gemini_summary_time_seconds,tfidf_summary_time_seconds,ollama_summary_time_seconds,gpt_summary_time_seconds
1dgmgf,0.2402545743834527,0.97273526824978,0.2615505090054816,0.5104377104377105,1.0,0.946917808219178,0.9766081871345028,1.0,0.1365280289330922,1.0,0.1509945750452079,0.3426763110307414,0.2278884462151394,0.972711267605634,0.2462745098039215,0.5043830074173972,0.9533333333333334,0.9468723221936588,0.923529411764706,0.9894179894179894,0.1294117647058823,1.0,0.1420814479638009,0.3384615384615385,0.2402545743834527,0.97273526824978,0.2537196554424432,0.5104377104377105,1.0,0.946917808219178,0.9473684210526316,1.0,0.1365280289330922,1.0,0.1464737793851717,0.3426763110307414,1.3417892456054688,0.18,12.133796691894531,7.227189779281616
1dgple,0.2344102178812922,0.9690721649484536,0.2873730043541364,0.3948087431693989,1.0,0.94,0.9753694581280788,1.0,0.1327659574468085,1.0,0.1685106382978723,0.2459574468085106,0.2242287434161023,0.9690466364011556,0.2776162790697674,0.387140902872777,0.9612903225806452,0.9399519615692554,0.9455445544554456,0.9826388888888888,0.1269165247018739,1.0,0.1626916524701873,0.2410562180579216,0.2344102178812922,0.9690721649484536,0.2786647314949201,0.3948087431693989,1.0,0.94,0.9458128078817734,1.0,0.1327659574468085,1.0,0.1634042553191489,0.2459574468085106,1.2556233406066897,0.12,5.6865317821502686,7.427603721618652
1dgrhe,0.332421340629275,0.9826682789197904,0.3681392235609103,0.3854304635761589,1.0,0.9659270998415214,1.0,1.0,0.1993437243642329,1.0,0.2255947497949138,0.2387202625102543,0.3260273972602739,0.9826542960871318,0.3605898123324397,0.376657824933687,0.9834710743801652,0.9659000793021412,0.9817518248175182,0.9793103448275862,0.1954022988505747,1.0,0.2208538587848932,0.2331691297208538,0.332421340629275,0.9826682789197904,0.3654618473895582,0.3854304635761589,1.0,0.9659270998415214,0.9927272727272728,1.0,0.1993437243642329,1.0,0.2239540607054963,0.2387202625102543,1.8468661308288572,0.03,7.6954405307769775,6.534233331680298
1dhek3,0.2911497105045492,0.979611190137506,0.4441110277569392,0.4021655065738592,1.0,0.9600371747211895,0.9866666666666668,1.0,0.1703775411423039,1.0,0.2865440464666021,0.2516940948693126,0.28003314001657,0.979591836734694,0.4327573253193087,0.3919442292796282,0.9657142857142856,0.96,0.9632107023411371,0.9768339768339768,0.1637596899224806,1.0,0.2790697674418604,0.2451550387596899,0.2911497105045492,0.979611190137506,0.4426106526631657,0.4021655065738592,1.0,0.9600371747211895,0.9833333333333332,1.0,0.1703775411423039,1.0,0.2855759922555663,0.2516940948693126,1.3502178192138672,0.05,7.632077693939209,5.87106204032898
1dhzwg,0.2604501607717042,0.9575221238938052,0.2881889763779527,0.5573333333333333,1.0,0.9185059422750425,0.973404255319149,1.0,0.1497227356746765,1.0,0.1691312384473197,0.3863216266173752,0.2576489533011272,0.9574844995571302,0.2681388012618296,0.5420560747663551,0.9937888198757764,0.9184367034834324,0.9090909090909092,0.973621103117506,0.1480111008325624,1.0,0.1572617946345976,0.3755781683626272,0.2604501607717042,0.9575221238938052,0.2440944881889764,0.5573333333333333,1.0,0.9185059422750425,0.824468085106383,1.0,0.1497227356746765,1.0,0.1432532347504621,0.3863216266173752,1.0485739707946775,0.05,5.6269371509552,5.308636665344238
1di4t6,0.4650938854116515,0.968702522029778,0.1094761624484991,0.2915326902465166,1.0,0.939304655274013,0.8857142857142857,1.0,0.3030112923462986,1.0,0.0583437892095357,0.1706398996235884,0.4491566265060241,0.9686834904226208,0.0601060695344726,0.2800429184549356,0.966804979253112,0.9392688679245284,0.4903846153846153,0.96309963099631,0.2925298179535467,1.0,0.032015065913371,0.1638418079096045,0.4650938854116515,0.968702522029778,0.0729841082989994,0.2915326902465166,1.0,0.939304655274013,0.5904761904761905,1.0,0.3030112923462986,1.0,0.0388958594730238,0.1706398996235884,2.8442845344543457,0.08,4.309305191040039,5.300549268722534
1di78q,0.5304232804232805,0.968613775065388,0.2839694656488549,0.5514993481095176,1.0,0.9391377852916316,0.9346733668341708,1.0,0.3609360936093609,1.0,0.1674167416741674,0.3807380738073807,0.519205298013245,0.9685863874345548,0.1896024464831804,0.5352480417754568,0.98,0.9390862944162436,0.6262626262626263,0.971563981042654,0.3531531531531531,1.0,0.1117117117117117,0.3693693693693693,0.5304232804232805,0.968613775065388,0.2274809160305343,0.5514993481095176,1.0,0.9391377852916316,0.7487437185929648,1.0,0.3609360936093609,1.0,0.1341134113411341,0.3807380738073807,2.455775499343872,0.03,5.544727563858032,7.972751617431641
1di7mo,0.197924980047885,0.9661959777492511,0.33015407190022,0.3917378917378917,1.0,0.9346026490066224,0.9615384615384616,1.0,0.1098317094774136,1.0,0.1992914083259521,0.2435783879539415,0.1838529176658673,0.966167023554604,0.3085966201322556,0.3737517831669044,0.934959349593496,0.9345484672742336,0.9012875536480688,0.9562043795620438,0.101950354609929,1.0,0.1861702127659574,0.2322695035460993,0.197924980047885,0.9661959777492511,0.3228173147468818,0.3917378917378917,1.0,0.9346026490066224,0.9401709401709402,1.0,0.1098317094774136,1.0,0.1948627103631532,0.2435783879539415,1.0708436965942385,0.06,6.351919412612915,6.362813234329224
1difq4,0.2875,0.9651285663966184,0.4110535405872194,0.4692737430167598,1.0,0.9326072157930564,0.9727520435967304,1.0,0.1678832116788321,1.0,0.2605839416058394,0.3065693430656934,0.2778473091364205,0.9651039830807192,0.3873198847262248,0.4541387024608501,0.9694323144104804,0.9325613079019074,0.918032786885246,0.9689737470167064,0.1621621621621621,1.0,0.2454346238130021,0.2965668371073776,0.2875,0.9651285663966184,0.3995394358088659,0.4692737430167598,1.0,0.9326072157930564,0.9455040871934604,1.0,0.1678832116788321,1.0,0.2532846715328467,0.3065693430656934,1.6389803886413574,0.04,9.423516750335692,5.494878768920898
1dihg2,0.2217687074829931,0.9660014781966002,0.3921568627450981,0.4253012048192771,1.0,0.9342387419585418,0.9846153846153848,1.0,0.1247130833970925,1.0,0.2448355011476664,0.2700841622035195,0.2138964577656676,0.9659763313609468,0.3803680981595091,0.4125452352231603,0.9691358024691358,0.9341917024320456,0.9567901234567902,0.9715909090909092,0.1202143950995405,1.0,0.2373660030627871,0.2618683001531393,0.2217687074829931,0.9660014781966002,0.3872549019607843,0.4253012048192771,1.0,0.9342387419585418,0.9723076923076924,1.0,0.1247130833970925,1.0,0.2417750573833205,0.2700841622035195,1.1634397506713867,0.05,8.859655857086182,5.651245594024658
1dijzm,0.4770186335403726,0.9623233908948194,0.3094910591471801,0.4046844502277164,1.0,0.9273827534039334,0.986842105263158,1.0,0.3132137030995106,1.0,0.1835236541598695,0.2536704730831974,0.4676616915422885,0.96229379418696,0.3002754820936639,0.3908794788273615,0.9817232375979112,0.927327781983346,0.960352422907489,0.967741935483871,0.3069387755102041,1.0,0.1779591836734693,0.2448979591836734,0.4770186335403726,0.9623233908948194,0.3067400275103163,0.4046844502277164,1.0,0.9273827534039334,0.9780701754385964,1.0,0.3132137030995106,1.0,0.1818923327895595,0.2536704730831974,2.27583122253418,0.06,6.337671756744385,8.893863677978516
1dip67,0.1621621621621622,0.973747016706444,0.3412322274881517,0.3884134298880842,1.0,0.9488372093023256,0.9960474308300395,1.0,0.088235294117647,1.0,0.2058823529411764,0.2410130718954248,0.150375939849624,0.9737261146496816,0.3322033898305084,0.3744232036914963,0.9345794392523364,0.9487975174553918,0.9722222222222222,0.9659863945578232,0.0817661488143908,1.0,0.2003270645952575,0.23221586263287,0.1621621621621622,0.973747016706444,0.3371699390656736,0.3884134298880842,1.0,0.9488372093023256,0.984189723320158,1.0,0.088235294117647,1.0,0.2034313725490196,0.2410130718954248,0.9430482387542723,0.05,6.892201662063599,7.666587352752685
1dj5ui,0.3574244415243101,0.9830908375933936,0.3284379172229639,0.4365228267667292,1.0,0.9667440061871616,0.9919354838709676,1.0,0.2176,1.0,0.1968,0.2792,0.35,0.983077528532074,0.3155080213903743,0.4308077645585472,0.981549815498155,0.96671826625387,0.9554655870445344,0.9885057471264368,0.2129703763010408,1.0,0.188951160928743,0.2754203362690152,0.3574244415243101,0.9830908375933936,0.321762349799733,0.4365228267667292,1.0,0.9667440061871616,0.9717741935483872,1.0,0.2176,1.0,0.1928,0.2792,1.5475032329559326,0.04,6.339029788970947,4.917743444442749
1djhxc,0.1790794979079497,0.9696969696969696,0.2104404567699836,0.5731147540983607,1.0,0.9411764705882352,0.9347826086956522,1.0,0.0983455882352941,1.0,0.1185661764705882,0.4016544117647059,0.1693210393964794,0.9696699375557536,0.1895424836601307,0.5581089954038082,0.9528301886792452,0.9411255411255413,0.8467153284671532,0.9747706422018348,0.092916283348666,1.0,0.1067157313707451,0.3909843606255749,0.1790794979079497,0.9696969696969696,0.1924959216965742,0.5731147540983607,1.0,0.9411764705882352,0.855072463768116,1.0,0.0983455882352941,1.0,0.1084558823529411,0.4016544117647059,0.962174654006958,0.04,4.350099325180054,6.922074794769287
