conversation_id,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,summary_time_seconds
1dgmgf,0.946917808219178,1.0,0.9727352682497801,0.9468723221936589,1.0,0.9727112676056339,0.946917808219178,1.0,0.9727352682497801,0.18
1dgple,0.94,1.0,0.9690721649484536,0.9399519615692554,1.0,0.9690466364011555,0.94,1.0,0.9690721649484536,0.12
1dgrhe,0.9659270998415214,1.0,0.9826682789197904,0.9659000793021412,1.0,0.9826542960871318,0.9659270998415214,1.0,0.9826682789197904,0.03
1dhek3,0.9600371747211895,1.0,0.9796111901375059,0.96,1.0,0.9795918367346939,0.9600371747211895,1.0,0.9796111901375059,0.05
1dhzwg,0.9185059422750425,1.0,0.9575221238938053,0.9184367034834324,1.0,0.9574844995571302,0.9185059422750425,1.0,0.9575221238938053,0.05
1di4t6,0.939304655274013,1.0,0.9687025220297781,0.9392688679245284,1.0,0.9686834904226208,0.939304655274013,1.0,0.9687025220297781,0.08
1di78q,0.9391377852916315,1.0,0.968613775065388,0.9390862944162437,1.0,0.9685863874345549,0.9391377852916315,1.0,0.968613775065388,0.03
1di7mo,0.9346026490066225,1.0,0.9661959777492511,0.9345484672742337,1.0,0.9661670235546039,0.9346026490066225,1.0,0.9661959777492511,0.06
1difq4,0.9326072157930565,1.0,0.9651285663966185,0.9325613079019074,1.0,0.9651039830807191,0.9326072157930565,1.0,0.9651285663966185,0.04
1dihg2,0.9342387419585418,1.0,0.9660014781966002,0.9341917024320457,1.0,0.9659763313609467,0.9342387419585418,1.0,0.9660014781966002,0.05
1dijzm,0.9273827534039334,1.0,0.9623233908948194,0.927327781983346,1.0,0.9622937941869599,0.9273827534039334,1.0,0.9623233908948194,0.06
1dip67,0.9488372093023256,1.0,0.9737470167064439,0.9487975174553918,1.0,0.9737261146496815,0.9488372093023256,1.0,0.9737470167064439,0.05
1dj5ui,0.9667440061871616,1.0,0.9830908375933936,0.9667182662538699,1.0,0.983077528532074,0.9667440061871616,1.0,0.9830908375933936,0.04
1djhxc,0.9411764705882353,1.0,0.9696969696969697,0.9411255411255411,1.0,0.9696699375557537,0.9411764705882353,1.0,0.9696969696969697,0.04
1djote,0.9265762170790104,1.0,0.9618889809444905,0.9265175718849841,1.0,0.9618573797678276,0.9265762170790104,1.0,0.9618889809444905,0.04
1dkav2,0.9225352112676056,1.0,0.9597069597069597,0.9224897240164416,1.0,0.9596823457544288,0.9225352112676056,1.0,0.9597069597069597,0.07
1dksdx,0.9745222929936306,1.0,0.9870967741935484,0.9744990892531876,1.0,0.9870848708487084,0.9745222929936306,1.0,0.9870967741935484,0.03
