conversation_id,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,summary_time_seconds
1dgmgf,1.0,0.17088607594936708,0.29189189189189185,0.9680851063829787,0.16470588235294117,0.2815158546017014,1.0,0.17088607594936708,0.29189189189189185,2.5865702629089355
1dgple,1.0,0.21106382978723404,0.34855938158819394,0.9757085020242915,0.20528109028960817,0.3391977480647431,1.0,0.21106382978723404,0.34855938158819394,8.85619592666626
1dgrhe,1.0,0.22969647251845776,0.3735823882588392,0.978494623655914,0.22413793103448276,0.3647294589178357,1.0,0.22969647251845776,0.3735823882588392,5.383336782455444
1dhek3,1.0,0.3330106485963214,0.4996368917937546,0.967930029154519,0.32170542635658916,0.482909090909091,0.997093023255814,0.33204259438528555,0.4981844589687726,4.299736738204956
1dhzwg,1.0,0.24306839186691312,0.3910780669144981,0.9770992366412213,0.23681776133209992,0.3812360387192852,1.0,0.24306839186691312,0.3910780669144981,4.401011943817139
1di4t6,1.0,0.27728983688833125,0.43418467583497056,0.9705215419501134,0.26867545511613306,0.42084562438544737,1.0,0.27728983688833125,0.43418467583497056,7.09463357925415
1di78q,1.0,0.3645364536453645,0.5343007915567282,0.9702970297029703,0.35315315315315315,0.5178335535006605,1.0,0.3645364536453645,0.5343007915567282,4.324872732162476
1di7mo,1.0,0.19929140832595216,0.3323485967503692,0.9642857142857143,0.19148936170212766,0.3195266272189349,1.0,0.19929140832595216,0.3323485967503692,2.731893301010132
1difq4,0.996742671009772,0.22335766423357664,0.36493738819320215,0.954248366013072,0.21329437545653762,0.3486567164179104,0.990228013029316,0.22189781021897811,0.3625521765056649,5.6060686111450195
1dihg2,1.0,0.17750573833205815,0.3014944769330734,0.961038961038961,0.16998468606431852,0.2888744307091737,0.9956896551724138,0.17674062739097168,0.3001949317738792,2.9361143112182617
1dijzm,1.0,0.2226753670473083,0.3642428285523682,0.9669117647058824,0.2146938775510204,0.3513694054776219,1.0,0.2226753670473083,0.3642428285523682,3.3430826663970947
1dip67,1.0,0.20506535947712418,0.3403389830508475,0.944,0.1929681112019624,0.32043448744059744,1.0,0.20506535947712418,0.3403389830508475,3.1514816284179688
1dj5ui,1.0,0.2824,0.44042420461634435,0.9715909090909091,0.27381905524419536,0.42723297938788257,1.0,0.2824,0.44042420461634435,5.012792587280273
1djhxc,1.0,0.26378676470588236,0.4174545454545455,0.9685314685314685,0.2548298068077277,0.40349599417334303,1.0,0.26378676470588236,0.4174545454545455,3.612983226776123
1djote,1.0,0.22739018087855298,0.3705263157894737,0.9543726235741445,0.21637931034482757,0.3527758257203092,1.0,0.22739018087855298,0.3705263157894737,6.173411846160889
1dkav2,1.0,0.11895674300254452,0.21262080727686186,0.9623655913978495,0.11394016549968174,0.20375640295959024,1.0,0.11895674300254452,0.21262080727686186,2.3230419158935547
1dksdx,1.0,0.2661064425770308,0.420353982300885,0.9859154929577465,0.2616822429906542,0.413589364844904,1.0,0.2661064425770308,0.420353982300885,3.9789633750915527
1dl91y,1.0,0.1870342771982116,0.3151286880100439,0.972,0.18120805369127516,0.305468258956631,1.0,0.1870342771982116,0.3151286880100439,3.442680835723877
1dlrmz,1.0,0.2346263008514664,0.3800766283524904,0.9676113360323887,0.22632575757575757,0.36684574059861863,1.0,0.2346263008514664,0.3800766283524904,3.871371030807495
1dlxdf,1.0,0.25169555388093445,0.4021673690547863,0.990990990990991,0.248868778280543,0.3978300180831826,1.0,0.25169555388093445,0.4021673690547863,4.177759885787964
1dlzxn,1.0,0.3980660757453666,0.5694524495677233,0.9695740365111561,0.38548387096774195,0.5516445470282746,0.9453441295546559,0.37630942788074134,0.538328530259366,5.515109300613403
1dmt0p,1.0,0.31336405529953915,0.47719298245614034,0.976401179941003,0.3053505535055351,0.46521433591004924,1.0,0.31336405529953915,0.47719298245614034,4.259387493133545
1dmwqf,1.0,0.2590529247910863,0.411504424778761,0.9712230215827338,0.25092936802973975,0.3988183161004431,1.0,0.2590529247910863,0.411504424778761,3.034050941467285
1dnaec,1.0,0.2762128325508607,0.43286327406499076,0.96875,0.26703210649960846,0.4186617556783303,0.9971671388101983,0.27543035993740217,0.4316370324954016,4.005540370941162
1dnc25,1.0,0.2806171648987464,0.4382530120481928,0.9655172413793104,0.2702702702702703,0.42232277526395173,1.0,0.2806171648987464,0.4382530120481928,3.0468082427978516
1dogl1,1.0,0.2025862068965517,0.33691756272401435,0.9615384615384616,0.19413287316652286,0.32304379038047376,1.0,0.2025862068965517,0.33691756272401435,2.7920162677764893
1dojlv,1.0,0.24849007765314926,0.39806496199032476,0.9686411149825784,0.24006908462867013,0.3847750865051903,1.0,0.24849007765314926,0.39806496199032476,3.2580370903015137
1dol7y,1.0,0.26009389671361505,0.4128166915052161,0.9710144927536232,0.2518796992481203,0.4,1.0,0.26009389671361505,0.4128166915052161,3.844331979751587
1dp2rr,1.0,0.2769360269360269,0.4337508239947265,0.9359756097560976,0.2586352148272957,0.40528052805280523,0.9878419452887538,0.2735690235690236,0.4284772577455505,4.133704900741577
1dprdf,1.0,0.24613117170228446,0.39503252513305737,0.9669669669669669,0.2374631268436578,0.38129070455891056,1.0,0.24613117170228446,0.39503252513305737,3.8512842655181885
1dpun8,1.0,0.19823788546255505,0.33088235294117646,0.9702602230483272,0.19177075679647318,0.3202453987730061,1.0,0.19823788546255505,0.33088235294117646,3.2039718627929688
1dpynb,1.0,0.24159231297185998,0.38916528468767275,0.9829059829059829,0.23695054945054944,0.38184836745987827,1.0,0.24159231297185998,0.38916528468767275,3.9587299823760986
1dpyzu,1.0,0.2134423251589464,0.35179640718562877,0.9615384615384616,0.20454545454545456,0.33733133433283363,1.0,0.2134423251589464,0.35179640718562877,4.625539541244507
1dqt10,1.0,0.34870848708487084,0.5170998632010944,0.9655172413793104,0.3361034164358264,0.49863013698630143,0.9973544973544973,0.3477859778597786,0.5157318741450069,3.876768112182617
1dqzfi,1.0,0.1493317838466008,0.25985844287158744,0.953125,0.14186046511627906,0.2469635627530364,1.0,0.1493317838466008,0.25985844287158744,3.661811351776123
1dr639,1.0,0.15651503469545103,0.2706666666666666,0.9702970297029703,0.15123456790123457,0.26168224299065423,0.916256157635468,0.14340786430223593,0.24800000000000003,2.2033348083496094
