conversation_id,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,summary_time_seconds
1yi9t0,1.0,0.05879671832269827,0.11106328024106758,0.9375,0.05471956224350205,0.1034037052994399,0.6356589147286822,0.037374658158614404,0.07059836418424452,2.7038064002990723
1zz0hh,1.0,0.05742935278030994,0.10862068965517241,0.968,0.055175558595531235,0.10440034512510786,0.9523809523809523,0.054694621695533276,0.10344827586206896,2.5153791904449463
5rg40h,1.0,0.149812734082397,0.26058631921824105,0.9748743718592965,0.1454272863568216,0.2530984996738421,1.0,0.149812734082397,0.26058631921824105,2.6127681732177734
69mi5,1.0,0.039523688877628575,0.076041920545942,0.9419354838709677,0.036999493157627975,0.07120214581809314,0.7115384615384616,0.028122624778312642,0.0541067511576895,3.3758842945098877
69n44,0.9925925925925926,0.09738372093023256,0.17736598279285246,0.9402985074626866,0.09163636363636364,0.16699801192842942,0.674074074074074,0.06613372093023256,0.12045003309066843,1.890122652053833
6a53w,1.0,0.09968354430379747,0.18129496402877698,0.928,0.09184481393507522,0.1671469740634006,1.0,0.09968354430379747,0.18129496402877698,1.9839661121368408
6a58n,0.9712595097210481,0.09787886532072579,0.17783624825878347,0.8011844331641286,0.08067813937638439,0.14659442724458205,0.7218934911242604,0.0727489564698867,0.13217768147345613,14.342385292053223
6a659,1.0,0.0868421052631579,0.15980629539951577,0.9183673469387755,0.07901668129938542,0.14551333872271624,1.0,0.0868421052631579,0.15980629539951577,1.8145287036895752
6ahuz,0.9964912280701754,0.0542917224240107,0.10297316896301667,0.9471830985915493,0.051434034416826,0.09756982227058396,0.9964912280701754,0.0542917224240107,0.10297316896301667,4.3541786670684814
6akt6,1.0,0.0649867374005305,0.12204234122042341,0.9657534246575342,0.062361786819991154,0.11715828832571665,1.0,0.0649867374005305,0.12204234122042341,2.4593188762664795
6alfc,0.45054945054945056,0.10206472397129887,0.16642788920725884,0.23932729624838292,0.05418863503222027,0.08836876044900885,0.29282482223658696,0.06633474886513399,0.10816618911174787,17.292447805404663
6b9la,0.9701492537313433,0.02499679528265607,0.04873781554611348,0.84,0.021538461538461538,0.042,0.8507462686567164,0.021920266632483015,0.042739315171207194,3.42435884475708
6blv6,0.920183938249302,0.23606488308405307,0.37573766094420596,0.5928055190538765,0.15206033538383754,0.24203608074575816,0.6068319921169322,0.15567726985464503,0.24778701716738197,69.00500965118408
6bquw,1.0,0.14139867279224094,0.24776386404293382,0.967391304347826,0.13636363636363635,0.2390331244404655,1.0,0.14139867279224094,0.24776386404293382,3.805039167404175
