conversation_id,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,summary_time_seconds
5rg40h,0.945,0.14157303370786517,0.24625407166123778,0.8743718592964824,0.13043478260869565,0.2270058708414873,0.91,0.13632958801498127,0.23713355048859938,44.34549927711487
69n44,0.9586206896551724,0.10101744186046512,0.18277449046679814,0.8888888888888888,0.09309090909090909,0.1685319289005925,0.7931034482758621,0.08357558139534883,0.15121630506245892,33.03099083900452
6a53w,0.9915254237288136,0.185126582278481,0.312,0.948936170212766,0.17656373713380838,0.2977303070761015,0.9788135593220338,0.18275316455696203,0.308,42.10444498062134
6a659,0.9795918367346939,0.12631578947368421,0.2237762237762238,0.9315068493150684,0.11940298507462686,0.21167315175097276,0.9455782312925171,0.12192982456140351,0.21600621600621603,21.45588731765747
6ahuz,0.9760479041916168,0.031160389982794877,0.06039273805113005,0.8975903614457831,0.028489483747609942,0.05522609340252038,0.9700598802395209,0.030969221946090614,0.06002223045572434,40.254146337509155
6akt6,0.9666666666666667,0.08974358974358974,0.16423948220064724,0.9043062200956937,0.08359133126934984,0.15303643724696356,0.8476190476190476,0.07869142351900972,0.14401294498381878,48.41806173324585
6alfc,0.9609375,0.018011421877288037,0.03536006899525658,0.9133858267716536,0.01698886936145284,0.03335729690869878,0.8203125,0.015375604041587347,0.030185424752048294,33.428041219711304
6b9la,0.9473684210526315,0.027688757851557493,0.05380495703076349,0.73568281938326,0.02141025641025641,0.041609567708982186,0.793859649122807,0.02320215357005512,0.04508656121559347,47.0423800945282
6blv6,0.982532751091703,0.009479671371392459,0.018778167250876315,0.8947368421052632,0.008595264177972529,0.01702695935230782,0.8209606986899564,0.007920792079207921,0.015690201969621096,41.814311504364014
6bquw,0.960431654676259,0.1362940275650842,0.23871256146624942,0.8989169675090253,0.127170582226762,0.22281879194630871,0.9064748201438849,0.12863705972434916,0.2253017434063478,37.63049006462097
6bwnx,0.9154929577464789,0.07669616519174041,0.14153511159499182,0.8014184397163121,0.0667060212514758,0.12316076294277929,0.8591549295774648,0.071976401179941,0.13282525857376157,21.438016176223755
6c2jj,0.9555555555555556,0.1690251572327044,0.28724114896459585,0.9196428571428571,0.16207710464201416,0.2755852842809365,0.92,0.16273584905660377,0.27655310621242485,34.47023057937622
6c8kq,0.9797979797979798,0.0829059829059829,0.152876280535855,0.8877551020408163,0.07442258340461934,0.13733228097868982,0.7575757575757576,0.0641025641025641,0.11820330969267138,15.202465295791626
6cboe,0.9590643274853801,0.07062876830318691,0.13156839149618935,0.8941176470588236,0.06548901335631194,0.12203934162986751,0.9239766081871345,0.06804478897502153,0.12675491375852385,40.50098514556885
6cc2r,0.9826086956521739,0.11199207135777998,0.201067615658363,0.9432314410480349,0.10708973723351513,0.1923419412288513,0.9608695652173913,0.10951437066402378,0.1966192170818505,45.377065896987915
6cc8n,0.9467455621301775,0.05928121526491293,0.11157601115760112,0.8214285714285714,0.05114899925871016,0.09630146545708304,0.7869822485207101,0.04927751018895887,0.09274755927475592,38.15075325965881
6cdu5,0.9333333333333333,0.050021017234131986,0.09495312188310392,0.7952755905511811,0.04246373764977927,0.08062263021353024,0.8549019607843137,0.04581757040773434,0.0869738679433473,48.8109028339386
6ch6p,0.979381443298969,0.09849663037843442,0.1789919924634951,0.8963730569948186,0.08973029045643154,0.16313059877416314,0.8041237113402062,0.08087091757387248,0.14696184644371174,31.419758796691895
6chf7,0.9925373134328358,0.021608448415922014,0.04229607250755288,0.9473684210526315,0.020474488137796554,0.04008271035470017,0.7686567164179104,0.016734362307067426,0.03275560502464621,27.2792866230011
6chte,0.8511904761904762,0.04744525547445255,0.08988057825267128,0.3473053892215569,0.019249917026219716,0.036477987421383654,0.4880952380952381,0.027206370272063702,0.051539912005028284,32.157591342926025
6ck9z,0.9770114942528736,0.04467805519053877,0.0854486051771802,0.9190751445086706,0.0417981072555205,0.07995976866985165,0.7873563218390804,0.036005256241787124,0.06886152299572758,39.254448652267456
6cker,0.9907407407407407,0.09532293986636971,0.17391304347826086,0.9209302325581395,0.08823529411764706,0.16104107360715741,0.9583333333333334,0.09220489977728286,0.16822429906542058,36.070279359817505
6cmsf,0.9829059829059829,0.061645671401768964,0.11601513240857504,0.8969957081545065,0.05603217158176944,0.10547564976028262,0.9743589743589743,0.061109622085231845,0.11500630517023962,59.45308804512024
6cmyv,0.9562043795620438,0.10306845003933911,0.18607954545454547,0.8676470588235294,0.09291338582677165,0.16785206258890467,0.8686131386861314,0.0936270653029111,0.1690340909090909,29.70364499092102
6cnb9,0.9844559585492227,0.11473429951690821,0.20551649540292047,0.9166666666666666,0.10634441087613293,0.19057931781266918,0.9533678756476683,0.1111111111111111,0.1990265008112493,38.156829833984375
6cpgk,0.9764705882352941,0.024375917767988253,0.04756446991404012,0.9112426035502958,0.022617124394184167,0.04413872169676125,0.9411764705882353,0.023494860499265784,0.045845272206303724,39.79554843902588
6cs4x,0.973568281938326,0.12614155251141554,0.22334512379989896,0.9247787610619469,0.11936036550542548,0.2114314618108245,0.6431718061674009,0.08333333333333333,0.14754926730672055,36.87410283088684
6cuso,0.986784140969163,0.026923076923076925,0.05241605241605242,0.9646017699115044,0.02620507272508715,0.05102399063779988,0.986784140969163,0.026923076923076925,0.05241605241605242,38.24724340438843
6cyh4,0.9886792452830189,0.22743055555555555,0.36979534227240646,0.9583333333333334,0.21980886185925283,0.3575971731448763,0.9811320754716981,0.22569444444444445,0.3669724770642202,51.165733098983765
6d0l7,0.9664804469273743,0.1495246326707001,0.25898203592814373,0.9101123595505618,0.14013840830449828,0.2428785607196402,0.9217877094972067,0.14261019878997408,0.24700598802395207,34.093101263046265
6d0ss,0.8928571428571429,0.048638132295719845,0.09225092250922509,0.5568862275449101,0.030165423289004217,0.05723076923076924,0.6607142857142857,0.03599221789883268,0.06826568265682657,48.49493432044983
6d2rz,0.9281045751633987,0.03543798352882456,0.06826923076923078,0.8289473684210527,0.03145282076884673,0.06060606060606061,0.869281045751634,0.03319191415023708,0.06394230769230769,46.3074369430542
6d3zf,0.9477611940298507,0.0736231884057971,0.1366325981710597,0.8345864661654135,0.06438515081206496,0.11954765751211631,0.7611940298507462,0.059130434782608696,0.10973641742872511,34.15846061706543
6d4ek,0.9771689497716894,0.12776119402985076,0.22597676874340022,0.9036697247706422,0.11768219832735961,0.20824524312896403,0.7534246575342466,0.09850746268656717,0.17423442449841606,48.16091513633728
6d5ff,0.9494949494949495,0.13137665967854648,0.23081645181092694,0.8578680203045685,0.11818181818181818,0.2077443146896128,0.8787878787878788,0.12159329140461216,0.21362799263351748,39.65742516517639
6danv,0.9526315789473684,0.15891132572431957,0.2723852520692249,0.8941798941798942,0.14850615114235502,0.25470987189148453,0.8526315789473684,0.14223002633889376,0.2437923250564334,35.031473875045776
6dcug,0.9842696629213483,0.046551174407482195,0.0888979094783844,0.9166666666666666,0.04326105442176871,0.08262281770198945,0.9595505617977528,0.04538208098628972,0.08666531357824234,53.47868609428406
6dd79,0.9707112970711297,0.12768299394606494,0.22568093385214005,0.9033613445378151,0.1183920704845815,0.20934761441090557,0.8744769874476988,0.11502476609796368,0.20330739299610895,26.415701389312744
6dfao,0.9666666666666667,0.056960471397004664,0.1075817296545328,0.8828451882845189,0.05181728880157171,0.09788912085363026,0.9125,0.0537687208445863,0.1015534430790633,48.87716794013977
6dftk,0.9775784753363229,0.03795925474490684,0.07308079114984914,0.9099099099099099,0.035179380006966215,0.06773977196512408,0.8789237668161435,0.03412850426606304,0.06570566543747905,59.811599016189575
6dgub,0.9776536312849162,0.11566424322538003,0.20685579196217493,0.9269662921348315,0.10912698412698413,0.1952662721893491,0.9553072625698324,0.1130204890945142,0.2021276595744681,28.801090717315674
6dj78,0.9489795918367347,0.04043478260869565,0.07756463719766472,0.8666666666666667,0.03674711893889976,0.07050479766374636,0.923469387755102,0.03934782608695652,0.07547956630525438,44.08791470527649
6dmfk,0.9656488549618321,0.1525015069318867,0.2634044768349818,0.8888888888888888,0.1399276236429433,0.2417926003126629,0.8664122137404581,0.13682941531042797,0.23633524206142634,51.086812019348145
6dmin,0.9722222222222222,0.038419319429198684,0.07391763463569166,0.8169014084507042,0.03185063152114223,0.061310782241014807,0.9444444444444444,0.03732162458836443,0.07180570221752904,20.251363515853882
6doch,0.9226804123711341,0.11467008327994875,0.203988603988604,0.7927461139896373,0.09807692307692308,0.17455790074158586,0.8608247422680413,0.10698270339525945,0.1903133903133903,36.643441677093506
6docz,0.9785714285714285,0.13972463029066803,0.24453369031682287,0.9283154121863799,0.13214285714285715,0.231353282715498,0.9428571428571428,0.13462519122896482,0.23560910307898258,51.1868200302124
6dq21,0.9868995633187773,0.010813914541365616,0.021393411586520257,0.9473684210526315,0.0103359173126615,0.020448736154501563,0.9781659388646288,0.010718216182592468,0.021204089360090873,48.7337646484375
