conversation_id,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,summary_time_seconds
1yi9t0,1.0,0.1349134001823154,0.23775100401606425,0.9491525423728814,0.12767897856817145,0.22508038585209003,1.0,0.1349134001823154,0.23775100401606425,13.113263845443726
1zz0hh,1.0,0.09298085688240657,0.1701417848206839,0.9556650246305419,0.08846329229366165,0.1619365609348915,1.0,0.09298085688240657,0.1701417848206839,7.607733488082886
5rg40h,1.0,0.26591760299625467,0.42011834319526625,0.9887005649717514,0.2623688155922039,0.4146919431279621,1.0,0.26591760299625467,0.42011834319526625,6.974483013153076
69mi5,1.0,0.07955409171522676,0.14738324337010092,0.9840255591054313,0.07805372529143437,0.14463489081944123,1.0,0.07955409171522676,0.14738324337010092,7.980861663818359
69n44,1.0,0.31031976744186046,0.4736550194120909,0.9741784037558685,0.3018181818181818,0.46085508051082735,1.0,0.31031976744186046,0.4736550194120909,9.302725791931152
6a53w,1.0,0.25316455696202533,0.4040404040404041,0.9843260188087775,0.24861441013460014,0.3969658659924146,1.0,0.25316455696202533,0.4040404040404041,6.425971746444702
6a58n,1.0,0.021637277451230938,0.04235804219127824,0.9683794466403162,0.020872380303288463,0.04086398131932282,0.968503937007874,0.02095578839764886,0.04102393062619861,6.669228792190552
6a659,1.0,0.2307017543859649,0.37491090520313614,0.9732824427480916,0.22388059701492538,0.3640256959314775,1.0,0.2307017543859649,0.37491090520313614,7.098645210266113
6ahuz,1.0,0.06251194800229401,0.11766822598056854,0.99079754601227,0.06175908221797323,0.11627069834413246,1.0,0.06251194800229401,0.11766822598056854,7.215868949890137
6akt6,1.0,0.11538461538461539,0.20689655172413793,0.9769230769230769,0.11233967271118973,0.20150733835779452,1.0,0.11538461538461539,0.20689655172413793,2.586505174636841
6alfc,1.0,0.06501683994728365,0.12209542142169669,0.9751693002257337,0.0632688927943761,0.11882822170265438,0.9977477477477478,0.06487040562307805,0.12182043173380998,6.4720680713653564
6b9la,1.0,0.019741058838610433,0.03871778755499686,0.9803921568627451,0.019230769230769232,0.03772161448509996,0.9155844155844156,0.018074605819766696,0.03544940289126336,4.301206588745117
6blv6,1.0,0.01887507899726143,0.03705082082454617,0.9776286353467561,0.018412404145950956,0.03614408006285927,1.0,0.01887507899726143,0.03705082082454617,9.154433488845825
6bquw,1.0,0.14088820826952528,0.24697986577181208,0.9672727272727273,0.13585291113381,0.23824451410658307,1.0,0.14088820826952528,0.24697986577181208,3.31333589553833
6bwnx,1.0,0.15221238938053097,0.2642089093701997,0.9844357976653697,0.14935064935064934,0.2593541773449513,1.0,0.15221238938053097,0.2642089093701997,4.038733720779419
6bza8,1.0,0.08307264511644073,0.1534017971758665,0.9705882352941176,0.08031988873435326,0.14836223506743737,1.0,0.08307264511644073,0.1534017971758665,13.063666343688965
6c2jj,1.0,0.19968553459119498,0.3328964613368283,0.9802371541501976,0.1951219512195122,0.32545931758530183,1.0,0.19968553459119498,0.3328964613368283,3.491652250289917
